"time","date","hour","premise","offense","beat","block","street","type","suffix","number","month","day","location","address","lon","lat"
"27/02/10 08:00","2/27/2010",2,"18N","murder","19G10","8100-8199","boone","rd","-",1,"february","saturday","bar / night club parking lot","8150 boone rd",-95.5746805,29.689601
"27/02/10 11:00","2/27/2010",5,"20A","murder","13D40","10900-10999","telephone","rd","-",1,"february","saturday","apartment","10950 telephone rd",-95.2859694,29.6071071
"28/02/10 05:00","2/27/2010",23,"20A","murder","13D20","7600-7699","glenview","dr","-",1,"february","saturday","apartment","7650 glenview dr",-95.2837087,29.6758581
"04/03/10 02:00","03/03/10",20,"13R","murder","1,60E+21","14000-14099","fleetwell","dr","-",1,"march","wednesday","road / street / sidewalk","14050 fleetwell dr",-95.4318395,29.6237604
"04/03/10 13:00","03/04/10",7,"20R","murder","13D10","4100-4199","sue ellen","","-",1,"march","thursday","residence / house","4150 sue ellen",-95.307677,29.698578
"07/03/10 04:00","03/06/10",22,"20A","murder","8C50","9000-9099","sterlingshire","st","-",1,"march","saturday","apartment","9050 sterlingshire st",-95.2588581,29.8542542
"08/03/10 03:00","03/07/10",21,"20A","murder","1,70E+41","7700-7799","airport","blvd","W",2,"march","sunday","apartment","7750 airport blvd",-95.277975,29.654603
"08/03/10 07:00","03/08/10",1,"18A","murder","12D10","10900-10999","gulf","fwy","-",1,"march","monday","apartment parking lot","10950 gulf fwy",-95.23954,29.636222
"09/03/10 12:00","03/09/10",6,"140","murder","11H20","8300-8399","la porte","rd","-",1,"march","tuesday","hotel / motel / etc.","8350 la porte rd",-95.2752745,29.7146855
"11/03/10 06:00","03/11/10",0,"20A","murder","3B10","6000-6099","sunforest","","-",1,"march","thursday","apartment","6050 sunforest",-95.4797778,29.8490791
"15/03/10 09:00","3/15/2010",4,"18P","murder","18F60","8000-8099","gessner","dr","S",1,"march","monday","commercial parking lot / garage","8050 gessner dr",-95.534075,29.6900436
"16/03/10 19:00","3/16/2010",14,"250","murder","2A10","2700-2799","main","","N",1,"march","tuesday","other / unknown","2750 main",-95.3748088,29.7445799
"21/03/10 18:00","3/21/2010",13,"18A","murder","6B60","1300-1399","greens","pkwy","-",1,"march","sunday","apartment parking lot","1350 greens pkwy",-95.439438,29.942918
"22/03/10 05:00","3/22/2010",0,"13R","murder","6B50","200-299","aldine bender","rd","-",1,"march","monday","road / street / sidewalk"," 250 aldine bender rd",-95.4008326,29.9317777
"27/03/10 04:00","3/26/2010",23,"13R","murder","1,50E+41","8400-8499","hearth","dr","-",1,"march","friday","road / street / sidewalk","8450 hearth dr",-95.4191795,29.6809422
"27/03/10 08:00","3/27/2010",3,"13R","murder","1,60E+11","13400-13499","monarch","rd","-",1,"march","saturday","road / street / sidewalk","13450 monarch rd",-95.4065921,29.6138436
"31/03/10 06:00","3/31/2010",1,"13R","murder","14D20","9000-9099","edgar","st","-",1,"march","wednesday","road / street / sidewalk","9050 edgar st",-95.3618924,29.6602516
"01/04/10 00:00","3/31/2010",19,"13R","murder","14D10","5100-5199","browncroft","","-",1,"march","wednesday","road / street / sidewalk","5150 browncroft",-95.3380779,29.6958047
"02/04/10 03:00","04/01/10",22,"13R","murder","19G20","11400-11499","carvel","ln","-",2,"april","thursday","road / street / sidewalk","11450 carvel ln",-95.5810852,29.6967024
"09/04/10 01:00","04/08/10",20,"20R","murder","11H40","10100-10199","lucore","","-",1,"april","thursday","residence / house","10150 lucore",-95.2419963,29.7041895
"09/04/10 04:00","04/08/10",23,"20R","murder","14D30","5100-5199","myrtlewood","dr","-",1,"april","thursday","residence / house","5150 myrtlewood dr",-95.3464345,29.6681957
"11/04/10 22:00","04/11/10",17,"20R","murder","9C20","7300-7399","tuck","","-",1,"april","sunday","residence / house","7350 tuck",-95.2949301,29.7690893
"17/04/10 05:00","4/17/2010",0,"05W","murder","13D20","6600-6699","heffernan","","-",1,"april","saturday","warehouse","6650 heffernan",-95.3100709,29.6663031
"17/04/10 06:00","4/17/2010",1,"13R","murder","10H60","3700-3799","wheeler","","-",1,"april","saturday","road / street / sidewalk","3750 wheeler",-95.3527416,29.7196771
"18/04/10 07:00","4/18/2010",2,"20D","murder","19G20","7100-7199","belle glen","dr","-",1,"april","sunday","driveway","7150 belle glen dr",-95.5871641,29.7007098
"20/04/10 17:00","4/20/2010",12,"20A","murder","1,70E+31","11500-11599","keegans ridge","rd","-",2,"april","tuesday","apartment","11550 keegans ridge rd",-95.5575317,29.6532373
"21/04/10 03:00","4/20/2010",22,"20R","murder","14D30","6400-6499","kassarine pass","","-",1,"april","tuesday","residence / house","6450 kassarine pass",-95.3341246,29.6866225
"21/04/10 13:00","4/21/2010",8,"18A","murder","13D20","7900-7999","morley","","-",1,"april","wednesday","apartment parking lot","7950 morley",-95.2736732,29.6614452
"21/04/10 21:00","4/21/2010",16,"100","murder","18F40","8000-8099","woodway","dr","-",1,"april","wednesday","field / woods","8050 woodway dr",-95.5082883,29.7451516
"23/04/10 01:00","4/22/2010",20,"20R","murder","19G30","7400-7499","cook","rd","-",1,"april","thursday","residence / house","7450 cook rd",-95.5960664,29.6970741
"25/04/10 06:00","4/25/2010",1,"13R","murder","10H20","1100-1199","milby","st","-",1,"april","sunday","road / street / sidewalk","1150 milby st",-95.3419028,29.7421245
"26/04/10 01:00","4/25/2010",20,"18A","murder","20G40","2300-2399","crescent park","dr","-",1,"april","sunday","apartment parking lot","2350 crescent park dr",-95.5850505,29.7385222
"01/05/10 03:00","4/30/2010",22,"18A","murder","19G20","11400-11499","beechnut","st","-",1,"april","friday","apartment parking lot","11450 beechnut st",-95.5809787,29.6888446
"01/05/10 05:00","05/01/10",0,"13R","murder","10H30","2000-2099","leeland","st","-",1,"may","saturday","road / street / sidewalk","2050 leeland st",-95.3598376,29.7472395
"01/05/10 17:00","05/01/10",12,"05F","murder","11H50","9100-9199","winkler","dr","-",1,"may","saturday","factory / manufacturing / industrial","9150 winkler dr",-95.2534266,29.6701831
"06/05/10 22:00","05/06/10",17,"18T","murder","7C30","3300-3399","laura koppe","rd","-",1,"may","thursday","strip business center parking lot","3350 laura koppe rd",-95.339025,29.8405551
"07/05/10 02:00","05/06/10",21,"20C","murder","18F40","1900-1999","voss","rd","S",1,"may","thursday","condominium","1950 voss rd",-95.5011846,29.7481774
"08/05/10 03:00","05/07/10",22,"03B","murder","11H20","8600-8699","la porte","rd","-",1,"may","friday","bar / night club","8650 la porte rd",-95.2713403,29.7147562
"08/05/10 05:00","05/08/10",0,"20D","murder","1,60E+41","6600-6699","trigate","dr","-",1,"may","saturday","driveway","6650 trigate dr",-95.4853878,29.5931418
"08/05/10 09:00","05/08/10",4,"20R","murder","14D30","5100-5199","van fleet","","-",1,"may","saturday","residence / house","5150 van fleet",-95.3449783,29.6749958
"08/05/10 19:00","05/08/10",14,"20R","murder","3B40","400-499","truman","","-",1,"may","saturday","residence / house"," 450 truman",-95.4064129,29.8286161
"08/05/10 23:00","05/08/10",18,"20R","murder","10H80","2100-2199","tangley","","-",1,"may","saturday","residence / house","2150 tangley",-95.4100499,29.7211542
"09/05/10 07:00","05/09/10",2,"18A","murder","6B30","5700-5799","thousand oaks","cir","-",1,"may","sunday","apartment parking lot","5750 thousand oaks cir",-95.4774967,29.8499442
"10/05/10 06:00","05/10/10",1,"03B","murder","13D20","7400-7499","park place","blvd","-",1,"may","monday","bar / night club","7450 park place blvd",-95.2949198,29.6850963
"11/05/10 20:00","05/11/10",15,"20A","murder","18F40","7900-7999","locke","ln","-",1,"may","tuesday","apartment","7950 locke ln",-95.5073703,29.7400216
"12/05/10 04:00","05/11/10",23,"18A","murder","5F20","1900-1999","spenwick","","-",1,"may","tuesday","apartment parking lot","1950 spenwick",-95.488155,29.806316
"12/05/10 04:00","05/11/10",23,"18A","murder","3B10","3200-3299","mangum","","-",1,"may","tuesday","apartment parking lot","3250 mangum",-95.4592637,29.8172965
"13/05/10 14:00","5/13/2010",9,"250","murder","1A10","1200-1299","travis","st","-",1,"may","thursday","other / unknown","1250 travis st",-95.3674428,29.7554486
"14/05/10 09:00","5/14/2010",4,"20R","murder","20G50","14000-14099","britoak","ln","-",1,"may","friday","residence / house","14050 britoak ln",-95.5924138,29.7819982
"16/05/10 02:00","5/15/2010",21,"13R","murder","9C30","6000-6099","lake houston","pkwy","S",1,"may","saturday","road / street / sidewalk","6050 lake houston pkwy",-95.2087735,29.8139833
"17/05/10 08:00","5/17/2010",3,"20A","murder","20G10","10000-10099","westpark","","-",3,"may","monday","apartment","10050 westpark",-95.5421558,29.7231467
"22/05/10 17:00","5/22/2010",12,"13R","murder","19G20","8000-8099","beech cove","ln","-",1,"may","saturday","road / street / sidewalk","8050 beech cove ln",-95.592466,29.692777
"25/05/10 03:00","5/24/2010",22,"18A","murder","14D20","4700-4799","wenda","","-",1,"may","monday","apartment parking lot","4750 wenda",-95.3540295,29.6526174
"25/05/10 05:00","5/25/2010",0,"20D","murder","14D40","4100-4199","groton","dr","-",1,"may","tuesday","driveway","4150 groton dr",-95.3615347,29.6398383
"25/05/10 05:00","5/25/2010",0,"18A","murder","3B10","5300-5399","deep forest","dr","-",1,"may","tuesday","apartment parking lot","5350 deep forest dr",-95.4743697,29.8689976
"26/05/10 06:00","5/26/2010",1,"20R","murder","12D20","11000-11099","sagevalley","dr","-",1,"may","wednesday","residence / house","11050 sagevalley dr",-95.2244854,29.5923478
"26/05/10 21:00","5/26/2010",16,"18U","murder","5F10","7600-7699","katy","fwy","-",1,"may","wednesday","mall parking lot","7650 katy fwy",-95.4729205,29.7845724
"29/05/10 01:00","5/28/2010",20,"20A","murder","6B60","16900-16999","northchase","dr","-",1,"may","friday","apartment","16950 northchase dr",-95.405407,29.9471441
"29/05/10 09:00","5/29/2010",4,"20A","murder","4F10","1200-1299","witte","rd","-",1,"may","saturday","apartment","1250 witte rd",-95.5400835,29.7910852
"01/06/10 02:00","5/31/2010",21,"18A","murder","18F60","7500-7599","gessner","dr","S",1,"may","monday","apartment parking lot","7550 gessner dr",-95.5377352,29.6958725
"02/06/10 07:00","06/02/10",2,"18A","murder","20G40","12100-12199","overbrook","ln","-",1,"june","wednesday","apartment parking lot","12150 overbrook ln",-95.5960817,29.7379601
"03/06/10 06:00","06/03/10",1,"13R","murder","1,60E+31","6900-6999","river bluff","dr","-",1,"june","thursday","road / street / sidewalk","6950 river bluff dr",-95.4922519,29.6289852
"03/06/10 15:00","06/03/10",10,"20A","murder","18F40","9400-9499","briar forest","dr","-",1,"june","thursday","apartment","9450 briar forest dr",-95.534115,29.747037
"04/06/10 12:00","06/04/10",7,"20A","murder","3B10","5800-5899","sunforest","","-",1,"june","friday","apartment","5850 sunforest",-95.4767949,29.8491308
"04/06/10 12:00","06/04/10",7,"20R","murder","13D30","9300-9399","randolph","","-",3,"june","friday","residence / house","9350 randolph",-95.2758612,29.6322183
"05/06/10 05:00","06/05/10",0,"20A","murder","1,70E+31","8800-8899","braeswood","blvd","S",1,"june","saturday","apartment","8850 braeswood blvd",-95.5041115,29.6765066
"05/06/10 07:00","06/05/10",2,"13R","murder","11H20","8300-8399","la porte","rd","-",1,"june","saturday","road / street / sidewalk","8350 la porte rd",-95.2752745,29.7146855
"05/06/10 10:00","06/05/10",5,"18A","murder","12D10","1200-1299","redford","","-",1,"june","saturday","apartment parking lot","1250 redford",-95.2414913,29.6446117
"05/06/10 21:00","06/05/10",16,"250","murder","11H30","0-99","west court","dr","-",1,"june","saturday","other / unknown","  50 west court dr",-95.2622678,29.694246
"05/06/10 23:00","06/05/10",18,"20A","murder","5F10","1300-1399","afton","st","-",1,"june","saturday","apartment","1350 afton st",-95.4731964,29.7929406
"06/06/10 05:00","06/06/10",0,"18A","murder","1A50","5100-5199","edloe","st","-",1,"june","sunday","apartment parking lot","5150 edloe st",-95.4336229,29.7277961
"09/06/10 07:00","06/09/10",2,"13R","murder","3B10","3900-3999","sherwood","ln","-",1,"june","wednesday","road / street / sidewalk","3950 sherwood ln",-95.4497012,29.8141361
"09/06/10 20:00","06/09/10",15,"20R","murder","19G40","11400-11499","chariot","dr","-",1,"june","wednesday","residence / house","11450 chariot dr",-95.5952759,29.6615361
"10/06/10 11:00","06/10/10",6,"20A","murder","1,70E+31","11500-11599","keegans ridge","rd","-",1,"june","thursday","apartment","11550 keegans ridge rd",-95.5575317,29.6532373
"11/06/10 21:00","06/11/10",16,"13R","murder","8C30","7800-7899","tidwell","rd","-",1,"june","friday","road / street / sidewalk","7850 tidwell rd",-95.2850525,29.8485683
"14/06/10 05:00","6/14/2010",0,"20R","murder","7C50","7200-7299","willowtex","dr","-",1,"june","monday","residence / house","7250 willowtex dr",-95.2791388,29.9364121
"17/06/10 16:00","6/17/2010",11,"140","murder","1,60E+11","13600-13699","almeda","rd","-",1,"june","thursday","hotel / motel / etc.","13650 almeda rd",-95.4215004,29.6088761
"18/06/10 21:00","6/18/2010",16,"100","murder","10H10","300-399","st charles","","-",1,"june","friday","field / woods"," 350 st charles",-95.3712772,29.8623341
"19/06/10 10:00","6/19/2010",5,"18A","murder","19G50","10300-10399","lands end","dr","-",1,"june","saturday","apartment parking lot","10350 lands end dr",-95.577493,29.662194
"22/06/10 23:00","6/22/2010",18,"18A","murder","2A20","900-999","adele","st","-",1,"june","tuesday","apartment parking lot"," 950 adele st",-95.3843059,29.8060803
"23/06/10 09:00","6/23/2010",4,"20A","murder","3B50","8200-8299","bauman","rd","-",1,"june","wednesday","apartment","8250 bauman rd",-95.3714712,29.8361559
"25/06/10 08:00","6/25/2010",3,"18N","murder","13D10","4600-4699","telephone","rd","-",1,"june","friday","bar / night club parking lot","4650 telephone rd",-95.2997616,29.6943475
"25/06/10 22:00","6/25/2010",17,"100","murder","3B50","6100-6199","frisco","st","-",1,"june","friday","field / woods","6150 frisco st",-95.3539949,29.8158559
"29/06/10 11:00","6/29/2010",6,"13A","murder","10H60","3000-3099","prospect","","-",1,"june","tuesday","alley","3050 prospect",-95.3700943,29.7163112
"01/07/10 16:00","07/01/10",11,"20R","murder","2A30","1100-1199","nicholson","","-",1,"july","thursday","residence / house","1150 nicholson",-95.405574,29.7921264
"04/07/10 05:00","07/04/10",0,"20A","murder","14D10","5900-5999","grace","ln","-",1,"july","sunday","apartment","5950 grace ln",-95.343193,29.6973723
"04/07/10 09:00","07/04/10",4,"18P","murder","1,70E+31","8400-8499","gessner","dr","S",1,"july","sunday","commercial parking lot / garage","8450 gessner dr",-95.5315475,29.6884306
"07/07/10 04:00","07/06/10",23,"18A","murder","19G40","12600-12699","brookglade","cir","-",1,"july","tuesday","apartment parking lot","12650 brookglade cir",-95.6012477,29.6797227
"07/07/10 05:00","07/07/10",0,"13R","murder","10H70","2200-2299","riverside","dr","-",1,"july","wednesday","road / street / sidewalk","2250 riverside dr",-95.3789637,29.7179619
"08/07/10 00:00","07/07/10",19,"20V","murder","7C20","3200-3299","newhoff","","-",1,"july","wednesday","vacant single occupancy residence (houses, townhouses, duplexes, etc)","3250 newhoff",-95.3362213,29.7852459
"11/07/10 00:00","07/10/10",19,"20A","murder","10H20","4900-4999","polk","","-",1,"july","saturday","apartment","4950 polk",-95.3269399,29.736003
"11/07/10 02:00","07/10/10",21,"20A","murder","20G80","2500-2599","joel wheaton","","-",1,"july","saturday","apartment","2550 joel wheaton",-95.633653,29.7328
"13/07/10 07:00","7/13/2010",2,"13R","murder","14D20","3600-3699","lehall","","-",1,"july","tuesday","road / street / sidewalk","3650 lehall",-95.3677874,29.6893579
"13/07/10 19:00","7/13/2010",14,"20R","murder","19G40","12400-12499","bexley","dr","-",1,"july","tuesday","residence / house","12450 bexley dr",-95.6001395,29.682603
"14/07/10 10:00","7/14/2010",5,"20R","murder","10H50","3200-3299","beulah","st","-",1,"july","wednesday","residence / house","3250 beulah st",-95.355838,29.730325
"14/07/10 21:00","7/14/2010",16,"18A","murder","20G40","1900-1999","kirkwood","dr","S",1,"july","wednesday","apartment parking lot","1950 kirkwood dr",-95.5356032,29.6108096
"15/07/10 03:00","7/14/2010",22,"13R","murder","18F40","8600-8699","woodway","dr","-",2,"july","wednesday","road / street / sidewalk","8650 woodway dr",-95.5176643,29.7411517
"16/07/10 07:00","7/16/2010",2,"13R","murder","1A20","2800-2899","smith","","-",1,"july","friday","road / street / sidewalk","2850 smith",-95.378785,29.7459015
"17/07/10 05:00","7/17/2010",0,"11R","murder","5F30","4500-4599","campbell","rd","-",1,"july","saturday","parks & recreation, zoo, swimming pool","4550 campbell rd",-95.5297258,29.836624
"18/07/10 11:00","7/18/2010",6,"13R","murder","1,50E+21","12600-12699","hillcroft","","-",1,"july","sunday","road / street / sidewalk","12650 hillcroft",-95.4932457,29.6364562
"31/07/10 06:00","7/31/2010",1,"18T","murder","18F40","7900-7999","westheimer","rd","-",1,"july","saturday","strip business center parking lot","7950 westheimer rd",-95.507847,29.737972
"01/08/10 21:00","08/01/10",16,"20A","murder","14D40","11900-11999","martin luther king","blvd","-",1,"august","sunday","apartment","11950 martin luther king blvd",-95.339564,29.6312291
"04/08/10 03:00","08/03/10",22,"20A","murder","20G40","2400-2499","kirkwood","dr","S",1,"august","tuesday","apartment","2450 kirkwood dr",-95.5355254,29.6107421
"05/08/10 01:00","08/04/10",20,"18A","murder","6B60","13500-13599","northborough","dr","-",1,"august","wednesday","apartment parking lot","13550 northborough dr",-95.4262366,29.9642105
"07/08/10 04:00","08/06/10",23,"03B","murder","10H70","4700-4799","almeda","rd","-",1,"august","friday","bar / night club","4750 almeda rd",-95.3773153,29.7270956
"07/08/10 05:00","08/07/10",0,"100","murder","6B60","1100-1199","langwick","dr","-",1,"august","saturday","field / woods","1150 langwick dr",-95.3877659,29.9529655
"09/08/10 01:00","08/08/10",20,"20R","murder","1,60E+41","16100-16199","bantam ridge","ct","-",1,"august","sunday","residence / house","16150 bantam ridge ct",-95.467621,29.590566
"14/08/10 03:00","8/13/2010",22,"70","murder","20G30","3800-3899","dairy ashford","","S",1,"august","friday","convenience store","3850 dairy ashford",-95.6048434,29.7169457
"14/08/10 13:00","8/14/2010",8,"20A","murder","11H10","6100-6199","gulf","fwy","-",1,"august","saturday","apartment","6150 gulf fwy",-95.311812,29.711828
"15/08/10 03:00","8/14/2010",22,"18A","murder","14D20","4400-4499","bellfort","st","-",1,"august","saturday","apartment parking lot","4450 bellfort st",-95.4516803,29.6731314
"15/08/10 10:00","8/15/2010",5,"18A","murder","11H10","6100-6199","gulf","fwy","-",1,"august","sunday","apartment parking lot","6150 gulf fwy",-95.311812,29.711828
"17/08/10 05:00","8/17/2010",0,"20R","murder","6B40","8600-8699","sunmore","ct","-",1,"august","tuesday","residence / house","8650 sunmore ct",-95.4252318,29.8851296
"17/08/10 06:00","8/17/2010",1,"18A","murder","4F10","9500-9599","long point","rd","-",1,"august","tuesday","apartment parking lot","9550 long point rd",-95.526051,29.798909
"18/08/10 04:00","8/17/2010",23,"18A","murder","14D50","5900-5999","selinsky","","-",1,"august","tuesday","apartment parking lot","5950 selinsky",-95.324943,29.636899
"18/08/10 07:00","8/18/2010",2,"20A","murder","18F50","7600-7699","gulfton","","-",1,"august","wednesday","apartment","7650 gulfton",-95.5193951,29.7145606
"21/08/10 04:00","8/20/2010",23,"13R","murder","19G50","10700-10799","bissonnet","st","-",1,"august","friday","road / street / sidewalk","10750 bissonnet st",-95.5636697,29.6743309
"22/08/10 04:00","8/21/2010",23,"20A","murder","1,70E+41","6300-6399","bellfort","st","W",1,"august","saturday","apartment","6350 bellfort st",-95.502723,29.6562525
"22/08/10 15:00","8/22/2010",10,"250","murder","20G30","10500-10599","richmond","ave","-",1,"august","sunday","other / unknown","10550 richmond ave",-95.56197,29.728488
"26/08/10 02:00","8/25/2010",21,"70","murder","1,70E+41","11300-11399","fondren","rd","-",1,"august","wednesday","convenience store","11350 fondren rd",-95.5084817,29.6543899
"28/08/10 06:00","8/28/2010",1,"18P","murder","5F30","14500-14599","hempstead","hwy","-",1,"august","saturday","commercial parking lot / garage","14550 hempstead hwy",-95.5142137,29.840407
"28/08/10 21:00","8/28/2010",16,"20A","murder","4F20","2400-2499","west sam houston","pkwy","N",1,"august","saturday","apartment","2450 west sam houston pkwy",-95.5584642,29.7389644
"29/08/10 08:00","8/29/2010",3,"13R","murder","3B40","400-499","43rd","st","E",1,"august","sunday","road / street / sidewalk"," 450 43rd st",-95.3927506,29.8249034
"29/08/10 12:00","8/29/2010",7,"20A","murder","11H10","900-999","redwood","st","-",1,"august","sunday","apartment"," 950 redwood st",-95.2967154,29.7133504
"05/07/10 15:00","07/05/10",10,"18R","aggravated assault","18F10","7600-7699","katy","fwy ser","S",3,"july","monday","restaurant / cafeteria parking lot","7650 katy fwy ser",-95.3632715,29.7632836
"09/03/10 01:00","03/08/10",19,"20A","aggravated assault","5F20","1100-1199","blalock","rd","-",1,"march","monday","apartment","1150 blalock rd",-95.521294,29.787644
"21/07/10 20:00","7/21/2010",15,"20A","aggravated assault","1,70E+31","8900-8999","bissonnet","st","-",1,"july","wednesday","apartment","8950 bissonnet st",-95.5341101,29.6763761
"21/07/10 21:00","7/21/2010",16,"13R","aggravated assault","1,50E+31","6900-6999","stella link","","-",1,"july","wednesday","road / street / sidewalk","6950 stella link",-95.4402882,29.703825
"01/04/10 15:00","04/01/10",10,"70","aggravated assault","14D20","3900-3999","bellfort","st","-",1,"april","thursday","convenience store","3950 bellfort st",-95.3677266,29.6693424
"22/06/10 04:00","6/21/2010",23,"20A","aggravated assault","14D10","3300-3399","alice","st","-",1,"june","monday","apartment","3350 alice st",-95.3754628,29.6937301
"21/01/10 02:00","1/20/2010",20,"18A","aggravated assault","5F20","8600-8699","pitner","","-",1,"january","wednesday","apartment parking lot","8650 pitner",-95.505236,29.830377
"26/03/10 01:00","3/25/2010",20,"20R","aggravated assault","8C60","10600-10699","caxton","st","-",1,"march","thursday","residence / house","10650 caxton st",-95.3129168,29.8685593
"06/01/10 00:00","01/05/10",18,"13R","aggravated assault","1A20","300-399","pacific","","-",1,"january","tuesday","road / street / sidewalk"," 350 pacific",-95.3862082,29.7468016
"24/05/10 07:00","5/24/2010",2,"13R","aggravated assault","1,70E+11","6900-6999","rampart","","-",1,"may","monday","road / street / sidewalk","6950 rampart",-95.4887973,29.7038427
